date,open,high,low,close,volume
2026-06-26 01:10:00,4025.55,4026.44,4021.84,4022.83,509.0
2026-06-26 01:15:00,4022.9,4024.09,4021.3,4022.23,377.0
2026-06-26 01:20:00,4022.23,4023.75,4019.83,4021.41,488.0
2026-06-26 01:25:00,4021.36,4025.52,4020.3,4024.53,626.0
2026-06-26 01:30:00,4024.45,4030.12,4024.28,4029.39,602.0
2026-06-26 01:35:00,4029.39,4036.16,4029.39,4033.8,660.0
2026-06-26 01:40:00,4033.92,4036.28,4028.33,4028.37,641.0
2026-06-26 01:45:00,4028.42,4029.87,4024.01,4024.74,554.0
2026-06-26 01:50:00,4024.69,4025.08,4021.69,4022.41,600.0
2026-06-26 01:55:00,4022.3,4027.21,4022.09,4026.01,621.0
2026-06-26 02:00:00,4026.04,4026.88,4023.16,4023.21,575.0
2026-06-26 02:05:00,4023.24,4024.22,4021.37,4022.65,411.0
2026-06-26 02:10:00,4022.7,4024.07,4021.18,4023.09,419.0
2026-06-26 02:15:00,4023.08,4025.91,4022.27,4025.91,534.0
2026-06-26 02:20:00,4025.91,4029.26,4025.05,4027.94,652.0
2026-06-26 02:25:00,4027.98,4030.02,4027.8,4029.62,535.0
2026-06-26 02:30:00,4029.56,4030.19,4021.03,4021.17,601.0
2026-06-26 02:35:00,4021.18,4024.88,4021.18,4023.87,637.0
2026-06-26 02:40:00,4023.81,4024.4,4022.53,4023.9,407.0
2026-06-26 02:45:00,4023.93,4023.97,4016.37,4017.69,880.0
2026-06-26 02:50:00,4017.77,4019.41,4016.35,4017.28,731.0
2026-06-26 02:55:00,4017.26,4017.62,4012.37,4014.2,795.0
2026-06-26 03:00:00,4014.23,4018.38,4012.02,4012.06,1246.0
2026-06-26 03:05:00,4012.08,4015.55,4011.39,4014.6,1070.0
2026-06-26 03:10:00,4014.51,4019.75,4011.8,4019.48,975.0
2026-06-26 03:15:00,4019.49,4023.18,4018.47,4021.72,981.0
2026-06-26 03:20:00,4021.75,4021.85,4016.76,4018.06,1037.0
2026-06-26 03:25:00,4018.1,4018.9,4012.18,4015.22,975.0
2026-06-26 03:30:00,4015.26,4016.62,4012.23,4015.79,1040.0
2026-06-26 03:35:00,4015.84,4017.89,4014.09,4016.28,964.0
2026-06-26 03:40:00,4016.28,4019.74,4014.83,4019.05,922.0
2026-06-26 03:45:00,4019.05,4023.76,4018.66,4019.04,927.0
2026-06-26 03:50:00,4019.03,4021.0,4015.48,4016.23,776.0
2026-06-26 03:55:00,4016.23,4024.39,4016.02,4020.12,952.0
2026-06-26 04:00:00,4020.17,4029.37,4017.2,4017.36,1619.0
2026-06-26 04:05:00,4017.36,4020.67,4014.04,4017.29,1224.0
2026-06-26 04:10:00,4017.31,4021.26,4017.2,4019.65,1041.0
2026-06-26 04:15:00,4019.74,4026.31,4018.24,4024.49,1091.0
2026-06-26 04:20:00,4024.49,4024.72,4021.42,4022.84,868.0
2026-06-26 04:25:00,4022.77,4023.05,4017.61,4022.68,976.0
2026-06-26 04:30:00,4022.52,4023.75,4019.12,4020.49,1118.0
2026-06-26 04:35:00,4020.38,4022.79,4016.01,4021.45,1182.0
2026-06-26 04:40:00,4021.39,4025.4,4019.95,4020.41,1071.0
2026-06-26 04:45:00,4020.18,4023.06,4014.27,4016.12,1223.0
2026-06-26 04:50:00,4016.08,4018.38,4014.38,4018.02,1203.0
2026-06-26 04:55:00,4018.0,4021.82,4017.96,4020.72,1065.0
2026-06-26 05:00:00,4021.41,4023.53,4017.48,4020.24,1103.0
2026-06-26 05:05:00,4020.23,4020.58,4015.0,4016.94,1039.0
2026-06-26 05:10:00,4016.84,4016.91,4013.29,4014.91,945.0
2026-06-26 05:15:00,4014.91,4016.68,4009.27,4009.35,775.0
2026-06-26 05:20:00,4009.36,4011.13,4005.21,4005.86,925.0
2026-06-26 05:25:00,4005.76,4008.38,4003.81,4007.42,883.0
2026-06-26 05:30:00,4007.43,4009.34,4001.14,4002.9,1249.0
2026-06-26 05:35:00,4002.86,4003.44,3991.72,3997.5,1324.0
2026-06-26 05:40:00,3997.33,3997.44,3991.21,3992.27,1147.0
2026-06-26 05:45:00,3992.27,3994.07,3990.67,3993.06,1140.0
2026-06-26 05:50:00,3993.01,3995.43,3984.59,3986.06,1297.0
2026-06-26 05:55:00,3986.05,3993.2,3982.8,3990.66,1266.0
2026-06-26 06:00:00,3990.63,3992.51,3986.54,3990.35,1191.0
2026-06-26 06:05:00,3990.35,3995.47,3989.29,3994.87,1142.0
2026-06-26 06:10:00,3994.87,3999.6,3993.2,3997.49,1110.0
2026-06-26 06:15:00,3997.45,4000.06,3993.82,3998.4,1032.0
2026-06-26 06:20:00,3998.4,3998.4,3992.6,3993.52,952.0
2026-06-26 06:25:00,3993.55,3996.03,3992.7,3995.34,868.0
2026-06-26 06:30:00,3995.34,3998.28,3992.99,3995.76,731.0
2026-06-26 06:35:00,3995.76,3998.09,3994.97,3996.22,709.0
2026-06-26 06:40:00,3996.24,4001.08,3996.04,4000.09,994.0
2026-06-26 06:45:00,4000.14,4000.32,3997.19,3997.79,921.0
2026-06-26 06:50:00,3997.76,4002.43,3997.61,4001.97,883.0
2026-06-26 06:55:00,4001.97,4006.66,4001.57,4004.07,854.0
2026-06-26 07:00:00,4004.19,4005.54,4000.81,4000.85,831.0
2026-06-26 07:05:00,4000.82,4003.22,3998.58,4000.9,824.0
2026-06-26 07:10:00,4000.9,4009.39,4000.77,4008.32,831.0
2026-06-26 07:15:00,4008.26,4011.87,4006.62,4009.17,831.0
2026-06-26 07:20:00,4009.29,4010.3,4007.74,4007.99,689.0
2026-06-26 07:25:00,4007.71,4008.43,4005.89,4007.28,731.0
2026-06-26 07:30:00,4007.37,4008.22,4004.25,4004.81,763.0
2026-06-26 07:35:00,4004.81,4005.03,4002.52,4003.16,729.0
2026-06-26 07:40:00,4003.16,4008.23,4001.43,4008.15,791.0
2026-06-26 07:45:00,4008.21,4009.52,4007.06,4009.11,747.0
2026-06-26 07:50:00,4009.12,4015.42,4008.66,4014.05,769.0
2026-06-26 07:55:00,4014.23,4014.92,4010.76,4011.17,773.0
2026-06-26 08:00:00,4011.43,4013.03,4009.37,4010.09,797.0
2026-06-26 08:05:00,4010.11,4012.23,4006.49,4011.7,728.0
2026-06-26 08:10:00,4011.7,4015.16,4011.7,4015.11,674.0
2026-06-26 08:15:00,4015.28,4019.04,4013.41,4014.53,810.0
2026-06-26 08:20:00,4014.53,4014.84,4011.6,4013.14,618.0
2026-06-26 08:25:00,4013.16,4018.48,4013.16,4016.73,710.0
2026-06-26 08:30:00,4016.74,4021.56,4014.73,4016.48,1120.0
2026-06-26 08:35:00,4016.55,4018.77,4012.13,4013.56,1124.0
2026-06-26 08:40:00,4013.56,4017.06,4010.87,4011.2,1039.0
2026-06-26 08:45:00,4011.2,4012.2,4005.55,4011.79,1131.0
2026-06-26 08:50:00,4011.79,4015.45,4010.45,4015.04,1153.0
2026-06-26 08:55:00,4015.04,4015.06,4006.49,4007.89,1162.0
2026-06-26 09:00:00,4007.96,4010.44,4006.74,4007.66,1171.0
2026-06-26 09:05:00,4007.82,4011.55,4007.77,4008.61,1086.0
2026-06-26 09:10:00,4008.63,4009.89,4006.68,4009.37,1073.0
2026-06-26 09:15:00,4009.34,4011.33,4008.26,4008.51,1095.0
2026-06-26 09:20:00,4008.49,4024.69,4008.4,4023.03,1446.0
2026-06-26 09:25:00,4023.04,4024.77,4020.39,4024.04,1306.0
2026-06-26 09:30:00,4024.04,4027.42,4022.42,4023.53,1299.0
2026-06-26 09:35:00,4023.76,4025.41,4021.39,4023.23,1133.0
2026-06-26 09:40:00,4023.42,4026.26,4020.79,4025.38,1065.0
2026-06-26 09:45:00,4025.38,4028.3,4023.33,4023.67,1137.0
2026-06-26 09:50:00,4023.68,4025.96,4021.86,4023.62,955.0
2026-06-26 09:55:00,4023.62,4033.13,4022.94,4031.9,1584.0
2026-06-26 10:00:00,4031.9,4033.76,4026.69,4029.45,1404.0
2026-06-26 10:05:00,4029.46,4032.46,4028.05,4029.04,1257.0
2026-06-26 10:10:00,4029.13,4029.66,4027.05,4027.37,1186.0
2026-06-26 10:15:00,4027.37,4031.72,4026.9,4031.23,1074.0
2026-06-26 10:20:00,4031.22,4031.36,4027.66,4029.12,1076.0
2026-06-26 10:25:00,4029.5,4039.75,4029.5,4037.82,1311.0
2026-06-26 10:30:00,4037.89,4038.86,4036.98,4037.72,1149.0
2026-06-26 10:35:00,4037.64,4038.1,4034.12,4036.17,977.0
2026-06-26 10:40:00,4036.2,4036.48,4030.95,4031.46,841.0
2026-06-26 10:45:00,4031.52,4031.79,4028.44,4028.99,773.0
2026-06-26 10:50:00,4028.97,4030.31,4027.8,4030.24,812.0
2026-06-26 10:55:00,4030.13,4032.15,4029.69,4030.59,825.0
2026-06-26 11:00:00,4030.58,4033.07,4025.94,4026.53,1396.0
2026-06-26 11:05:00,4026.61,4031.59,4025.79,4030.45,1288.0
2026-06-26 11:10:00,4030.45,4031.31,4027.93,4030.88,1057.0
2026-06-26 11:15:00,4030.91,4034.56,4029.75,4032.42,1137.0
2026-06-26 11:20:00,4032.36,4033.95,4030.14,4030.84,1004.0
